2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
26,25,23,21,20,24,32,34,24,22,29,34,25,26
29,22,24,21,25,23,30,29,31,30,20,27,27,29
30,30,22,22,34,33,32,29,28,36,35,20,32,
26,30,23,19,35,24,33,35,20,24,27,25,29,20
29,28,33,36,24,33,30,27,23,32,33,31,31,29
29,34,29,28,22,31,33,29,32,34,32,20,34,24
32,30,28,25,26,36,30,22,25,29,28,27,37,38
26,37,27,31,25,23,24,32,34,31,32,26,29,
30,25,24,26,32,21,31,33,38,33,30,33,41,27
47,36,27,23,27,35,24,23,33,24,23,22,41,30
26,39,29,35,32,26,26,28,20,25,26,33,38,30
27,23,25,28,43,25,31,24,35,25,34,32,35,37
29,27,28,28,36,25,28,39,40,23,28,30,26,39
29,25,24,26,29,22,18,32,30,31,33,35,34,32
26,26,24,29,29,23,25,29,27,37,31,37,25,30
27,34,29,28,34,34,32,24,30,30,36,33,29,31
28,36,28,35,20,26,24,29,30,26,23,35,39,
43,40,52,33,31,26,25,24,24,32,26,27,22,25
36,42,28,24,22,28,24,31,28,40,34,32,19,38
30,31,50,26,26,31,23,30,24,28,24,40,38,31
36,39,27,37,26,25,31,25,25,36,27,27,35,36
32,31,29,28,22,44,34,32,45,29,32,39,32,30
31,42,40,30,27,28,25,43,30,31,28,29,24,40
26,32,29,40,27,32,43,33,25,31,39,32,36,34
26,30,38,27,45,44,31,36,33,34,28,39,24,37
27,31,29,44,36,35,34,45,38,35,22,39,31,29
23,26,25,29,29,26,20,30,31,27,25,30,27,34
40,40,29,40,39,24,36,25,28,34,33,36,22,33
28,29,28,27,28,25,37,23,27,29,30,31,41,30
42,25,37,27,40,26,23,42,37,30,25,30,40,24
25,27,45,38,22,25,41,40,36,41,29,32,36,39
31,32,26,25,25,28,21,44,40,25,39,34,31,31
22,25,24,27,46,21,26,43,45,31,40,26,24,34
54,36,31,37,43,30,41,40,26,29,35,41,40,30
33,48,31,27,22,24,29,25,32,41,40,33,35,30
28,28,27,28,46,38,34,43,42,27,37,35,28,37
30,27,31,25,45,43,27,38,43,28,31,35,45,25
28,23,39,47,23,19,39,41,44,41,29,44,40,40
38,49,30,29,24,45,46,41,29,41,37,35,41,43
23,31,23,34,24,22,29,40,24,29,31,22,33,37
28,42,35,30,25,32,27,21,26,34,31,25,33,33
36,41,27,42,26,23,29,39,32,38,40,41,27,50
23,28,37,25,28,39,26,30,26,42,29,35,37,36
23,54,48,26,25,38,42,36,39,25,35,31,40,39
27,38,47,26,28,38,40,23,34,33,33,29,37,23
26,30,30,32,29,45,44,41,23,19,40,41,42,44
23,32,25,30,48,42,24,28,32,36,33,37,45,36
26,17,28,30,43,24,40,35,27,41,43,38,25,27
28,25,41,28,46,25,33,37,22,39,26,37,47,35
22,38,26,24,27,47,37,23,40,44,26,38,48,34
32,36,26,40,38,28,30,26,24,39,40,48,34,26
25,30,33,29,45,43,37,26,40,31,38,37,23,30
27,47,49,25,26,24,31,29,30,34,43,43,27,35
29,27,28,32,27,45,24,24,34,24,33,33,34,34
26,27,23,30,44,25,40,41,42,36,27,37,22,44
29,26,24,24,20,28,37,38,27,36,24,32,36,40
34,29,33,40,27,34,37,43,38,22,28,42,32,27
55,22,32,47,29,24,39,47,40,39,36,51,61,40
28,29,40,29,38,52,42,26,26,51,31,40,23,30
48,49,28,30,31,28,24,32,40,33,33,28,38,27
